Date,Estimated Unemployment Rate (%),3_Month_Moving_Average,MoM_Change,MoM_Percentage_Change
2019-05-31,8.87425925925926,,,
2019-06-30,9.303333333333333,,0.42907407407407305,4.835041004987373
2019-07-31,9.033888888888889,9.070493827160494,-0.26944444444444393,-2.896214021258803
2019-08-31,9.637924528301888,9.32504891684137,0.6040356394129986,6.686330182297517
2019-09-30,9.051730769230769,9.241181395473848,-0.5861937590711186,-6.082157598866367
2019-10-31,9.90090909090909,9.530188129480583,0.8491783216783215,9.381391728584143
2019-11-30,9.868363636363636,9.607001165501165,-0.03254545454545443,-0.3287117803691064
2019-12-31,9.497358490566038,9.755543739279588,-0.37100514579759825,-3.7595406844402546
2020-01-31,9.950754716981132,9.772158947970269,0.45339622641509436,4.773919262555637
2020-02-29,9.964716981132076,9.804276729559747,0.013962264150944037,0.14031361990178848
2020-03-31,10.700576923076921,10.20534954039671,0.7358599419448453,7.384654710597172
2020-04-30,23.64156862745098,14.768954177219994,12.940991704374058,120.93732700024282
2020-05-31,24.875294117647062,19.73914655605832,1.2337254901960826,5.218458680290627
2020-06-30,11.903599999999999,20.140154248366013,-12.971694117647063,-52.1468974650019
